air_temp,dni,ghi,gti,period_end,period
-11,0,0,0,2016-01-01T01:00:00Z,PT60M
-11,0,0,0,2016-01-01T02:00:00Z,PT60M
-11,0,0,0,2016-01-01T03:00:00Z,PT60M
-11,0,0,0,2016-01-01T04:00:00Z,PT60M
-11,0,0,0,2016-01-01T05:00:00Z,PT60M
-12,24,7,14,2016-01-01T06:00:00Z,PT60M
-12,418,93,233,2016-01-01T07:00:00Z,PT60M
-10,583,199,415,2016-01-01T08:00:00Z,PT60M
-9,37,185,196,2016-01-01T09:00:00Z,PT60M
-9,0,166,161,2016-01-01T10:00:00Z,PT60M
-9,0,147,142,2016-01-01T11:00:00Z,PT60M
-9,8,147,146,2016-01-01T12:00:00Z,PT60M
-9,95,105,140,2016-01-01T13:00:00Z,PT60M
-10,3,21,21,2016-01-01T14:00:00Z,PT60M
-11,0,0,0,2016-01-01T15:00:00Z,PT60M
-11,0,0,0,2016-01-01T16:00:00Z,PT60M
-12,0,0,0,2016-01-01T17:00:00Z,PT60M
-12,0,0,0,2016-01-01T18:00:00Z,PT60M
-12,0,0,0,2016-01-01T19:00:00Z,PT60M
-13,0,0,0,2016-01-01T20:00:00Z,PT60M
-14,0,0,0,2016-01-01T21:00:00Z,PT60M
-14,0,0,0,2016-01-01T22:00:00Z,PT60M
-15,0,0,0,2016-01-01T23:00:00Z,PT60M
-15,0,0,0,2016-01-02T00:00:00Z,PT60M
-15,0,0,0,2016-01-02T01:00:00Z,PT60M
-15,0,0,0,2016-01-02T02:00:00Z,PT60M
-15,0,0,0,2016-01-02T03:00:00Z,PT60M
-15,0,0,0,2016-01-02T04:00:00Z,PT60M
-15,0,0,0,2016-01-02T05:00:00Z,PT60M
-15,15,6,10,2016-01-02T06:00:00Z,PT60M
-15,116,71,110,2016-01-02T07:00:00Z,PT60M
-13,0,85,82,2016-01-02T08:00:00Z,PT60M
-12,0,134,130,2016-01-02T09:00:00Z,PT60M
-12,9,202,200,2016-01-02T10:00:00Z,PT60M
-11,0,185,179,2016-01-02T11:00:00Z,PT60M
-11,253,190,289,2016-01-02T12:00:00Z,PT60M
-11,231,119,206,2016-01-02T13:00:00Z,PT60M
-12,0,19,18,2016-01-02T14:00:00Z,PT60M
-13,0,0,0,2016-01-02T15:00:00Z,PT60M
-13,0,0,0,2016-01-02T16:00:00Z,PT60M
-13,0,0,0,2016-01-02T17:00:00Z,PT60M
-13,0,0,0,2016-01-02T18:00:00Z,PT60M
-13,0,0,0,2016-01-02T19:00:00Z,PT60M
-14,0,0,0,2016-01-02T20:00:00Z,PT60M
-14,0,0,0,2016-01-02T21:00:00Z,PT60M
-14,0,0,0,2016-01-02T22:00:00Z,PT60M
-15,0,0,0,2016-01-02T23:00:00Z,PT60M
-15,0,0,0,2016-01-03T00:00:00Z,PT60M
-15,0,0,0,2016-01-03T01:00:00Z,PT60M
-16,0,0,0,2016-01-03T02:00:00Z,PT60M
-16,0,0,0,2016-01-03T03:00:00Z,PT60M
-16,0,0,0,2016-01-03T04:00:00Z,PT60M
-16,0,0,0,2016-01-03T05:00:00Z,PT60M
-17,18,6,12,2016-01-03T06:00:00Z,PT60M
-16,383,91,221,2016-01-03T07:00:00Z,PT60M
-15,469,189,367,2016-01-03T08:00:00Z,PT60M
-14,71,198,227,2016-01-03T09:00:00Z,PT60M
-13,98,226,269,2016-01-03T10:00:00Z,PT60M
-12,308,250,384,2016-01-03T11:00:00Z,PT60M
-12,542,233,448,2016-01-03T12:00:00Z,PT60M
-12,468,141,307,2016-01-03T13:00:00Z,PT60M
-13,133,33,76,2016-01-03T14:00:00Z,PT60M
-14,0,0,0,2016-01-03T15:00:00Z,PT60M
-14,0,0,0,2016-01-03T16:00:00Z,PT60M
-14,0,0,0,2016-01-03T17:00:00Z,PT60M
-15,0,0,0,2016-01-03T18:00:00Z,PT60M
-15,0,0,0,2016-01-03T19:00:00Z,PT60M
-16,0,0,0,2016-01-03T20:00:00Z,PT60M
-16,0,0,0,2016-01-03T21:00:00Z,PT60M
-16,0,0,0,2016-01-03T22:00:00Z,PT60M
-17,0,0,0,2016-01-03T23:00:00Z,PT60M
-16,0,0,0,2016-01-04T00:00:00Z,PT60M
-16,0,0,0,2016-01-04T01:00:00Z,PT60M
-17,0,0,0,2016-01-04T02:00:00Z,PT60M
-17,0,0,0,2016-01-04T03:00:00Z,PT60M
-17,0,0,0,2016-01-04T04:00:00Z,PT60M
-17,0,0,0,2016-01-04T05:00:00Z,PT60M
-16,36,7,18,2016-01-04T06:00:00Z,PT60M
-16,502,100,263,2016-01-04T07:00:00Z,PT60M
-14,570,200,410,2016-01-04T08:00:00Z,PT60M
-13,211,221,314,2016-01-04T09:00:00Z,PT60M
-12,706,319,603,2016-01-04T10:00:00Z,PT60M
-11,831,322,641,2016-01-04T11:00:00Z,PT60M
-11,775,259,544,2016-01-04T12:00:00Z,PT60M
-11,643,156,374,2016-01-04T13:00:00Z,PT60M
-12,220,38,106,2016-01-04T14:00:00Z,PT60M
-13,0,0,0,2016-01-04T15:00:00Z,PT60M
-12,0,0,0,2016-01-04T16:00:00Z,PT60M
-13,0,0,0,2016-01-04T17:00:00Z,PT60M
-13,0,0,0,2016-01-04T18:00:00Z,PT60M
-13,0,0,0,2016-01-04T19:00:00Z,PT60M
-14,0,0,0,2016-01-04T20:00:00Z,PT60M
-14,0,0,0,2016-01-04T21:00:00Z,PT60M
-14,0,0,0,2016-01-04T22:00:00Z,PT60M
-14,0,0,0,2016-01-04T23:00:00Z,PT60M
-14,0,0,0,2016-01-05T00:00:00Z,PT60M
-14,0,0,0,2016-01-05T01:00:00Z,PT60M
-14,0,0,0,2016-01-05T02:00:00Z,PT60M
-14,0,0,0,2016-01-05T03:00:00Z,PT60M
-14,0,0,0,2016-01-05T04:00:00Z,PT60M
-13,0,0,0,2016-01-05T05:00:00Z,PT60M
-13,0,3,3,2016-01-05T06:00:00Z,PT60M
-13,0,35,34,2016-01-05T07:00:00Z,PT60M
-12,0,87,84,2016-01-05T08:00:00Z,PT60M
-10,0,157,152,2016-01-05T09:00:00Z,PT60M
-9,66,215,241,2016-01-05T10:00:00Z,PT60M
-8,107,214,260,2016-01-05T11:00:00Z,PT60M
-8,146,181,242,2016-01-05T12:00:00Z,PT60M
-8,158,115,175,2016-01-05T13:00:00Z,PT60M
-8,25,28,36,2016-01-05T14:00:00Z,PT60M
-9,0,0,0,2016-01-05T15:00:00Z,PT60M
-10,0,0,0,2016-01-05T16:00:00Z,PT60M
-10,0,0,0,2016-01-05T17:00:00Z,PT60M
-10,0,0,0,2016-01-05T18:00:00Z,PT60M
-10,0,0,0,2016-01-05T19:00:00Z,PT60M
-10,0,0,0,2016-01-05T20:00:00Z,PT60M
-10,0,0,0,2016-01-05T21:00:00Z,PT60M
-9,0,0,0,2016-01-05T22:00:00Z,PT60M
-8,0,0,0,2016-01-05T23:00:00Z,PT60M
-8,0,0,0,2016-01-06T00:00:00Z,PT60M
-8,0,0,0,2016-01-06T01:00:00Z,PT60M
-8,0,0,0,2016-01-06T02:00:00Z,PT60M
-8,0,0,0,2016-01-06T03:00:00Z,PT60M
-7,0,0,0,2016-01-06T04:00:00Z,PT60M
-7,0,0,0,2016-01-06T05:00:00Z,PT60M
-7,21,7,13,2016-01-06T06:00:00Z,PT60M
-7,278,81,173,2016-01-06T07:00:00Z,PT60M
-6,0,48,46,2016-01-06T08:00:00Z,PT60M
-6,0,65,63,2016-01-06T09:00:00Z,PT60M
-6,0,109,105,2016-01-06T10:00:00Z,PT60M
-5,0,136,131,2016-01-06T11:00:00Z,PT60M
-5,39,147,160,2016-01-06T12:00:00Z,PT60M
-5,0,77,75,2016-01-06T13:00:00Z,PT60M
-5,0,16,16,2016-01-06T14:00:00Z,PT60M
-4,0,0,0,2016-01-06T15:00:00Z,PT60M
-4,0,0,0,2016-01-06T16:00:00Z,PT60M
-4,0,0,0,2016-01-06T17:00:00Z,PT60M
-4,0,0,0,2016-01-06T18:00:00Z,PT60M
-4,0,0,0,2016-01-06T19:00:00Z,PT60M
-4,0,0,0,2016-01-06T20:00:00Z,PT60M
-4,0,0,0,2016-01-06T21:00:00Z,PT60M
-4,0,0,0,2016-01-06T22:00:00Z,PT60M
-4,0,0,0,2016-01-06T23:00:00Z,PT60M
-4,0,0,0,2016-01-07T00:00:00Z,PT60M
